,Date,Open*,High,Low,Close**,Volume,Market Cap
564,"Apr 22, 2017",1222.71,1235.56,1208.47,1231.71,249320000,20062753908
565,"Apr 21, 2017",1229.42,1235.94,1215.56,1222.05,272167008,19903192286
566,"Apr 20, 2017",1211.08,1240.79,1208.41,1229.08,315108000,20015137622
567,"Apr 19, 2017",1212.13,1215.51,1205.08,1210.29,288060992,19707045565
568,"Apr 18, 2017",1193.77,1217.57,1193.77,1211.67,270524000,19727334977
569,"Apr 17, 2017",1183.25,1194.9,1172.65,1193.91,253206000,19436033390
570,"Apr 16, 2017",1172.61,1187.22,1172.61,1182.94,183231008,19255408766
571,"Apr 15, 2017",1167.3,1188.0,1164.96,1172.52,203559008,19083656460
572,"Apr 14, 2017",1170.33,1190.8,1159.79,1167.54,254827008,19000400018
573,"Apr 13, 2017",1201.02,1205.89,1156.44,1169.28,351968992,19026699552
574,"Apr 12, 2017",1204.81,1207.14,1196.76,1200.37,288702016,19530680104
575,"Apr 11, 2017",1187.46,1208.07,1187.46,1205.01,216182000,19604036563
576,"Apr 10, 2017",1187.3,1190.34,1179.04,1187.13,215883008,19310642460
577,"Apr 09, 2017",1176.57,1197.21,1171.86,1187.87,242343008,19320511927
578,"Apr 08, 2017",1172.65,1184.98,1162.58,1175.95,209312000,19124327856
579,"Apr 07, 2017",1178.94,1186.58,1163.39,1176.9,317022016,19137747435
580,"Apr 06, 2017",1125.81,1188.37,1125.81,1182.68,511222016,19229356147
581,"Apr 05, 2017",1134.14,1135.09,1113.63,1124.78,414784000,18285857775
582,"Apr 04, 2017",1145.52,1156.44,1120.52,1133.25,436310016,18421262063
583,"Apr 03, 2017",1102.95,1151.74,1102.95,1143.81,580444032,18591158323
584,"Apr 02, 2017",1080.61,1107.59,1075.45,1102.17,514187008,17911915755
585,"Apr 01, 2017",1071.71,1091.72,1061.09,1080.5,289633984,17557597716
586,"Mar 31, 2017",1026.64,1074.92,1026.64,1071.79,447287008,17414322808
